tconst,title,year,studio,genres,runtime_minutes,imdb_rating,total_gross,genre_list
tt1067583,water for elephants,2011,Fox,"Drama,Romance",120.0,6.9,117100000,"['Drama,Romance']"
tt1007029,the iron lady,2011,Wein.,"Biography,Drama",105.0,6.4,114900000,"['Biography,Drama']"
tt1210166,moneyball,2011,Sony,"Biography,Drama,Sport",133.0,7.6,110200000,"['Biography,Drama,Sport']"
tt0881320,sanctum,2011,Uni.,"Adventure,Drama,Thriller",108.0,5.9,108600000,"['Adventure,Drama,Thriller']"
tt1702443,justin bieber: never say never,2011,Par.,"Documentary,Music",105.0,1.6,99000000,"['Documentary,Music']"
tt1092026,paul,2011,Uni.,"Adventure,Comedy,Sci-Fi",104.0,7.0,98000000,"['Adventure,Comedy,Sci-Fi']"
tt1262416,scream 4,2011,W/Dim.,"Horror,Mystery",111.0,6.2,97200000,"['Horror,Mystery']"
tt1161864,the rite,2011,WB (NL),"Drama,Horror,Mystery",114.0,6.0,96000000,"['Drama,Horror,Mystery']"
tt1564349,dolphin tale,2011,WB,"Drama,Family",113.0,6.9,95400000,"['Drama,Family']"
tt0479997,season of the witch,2011,Rela.,"Action,Adventure,Fantasy",95.0,5.4,91600000,"['Action,Adventure,Fantasy']"
tt0978764,sucker punch,2011,WB,"Action,Adventure,Fantasy",110.0,6.1,89800000,"['Action,Adventure,Fantasy']"
tt1486185,red riding hood,2011,WB,"Fantasy,Horror,Mystery",100.0,5.5,89200000,"['Fantasy,Horror,Mystery']"
tt1616195,j. edgar,2011,WB,"Biography,Crime,Drama",137.0,6.6,84900000,"['Biography,Crime,Drama']"
tt0480687,hall pass,2011,WB (NL),"Comedy,Romance",105.0,5.9,83200000,"['Comedy,Romance']"
tt1464174,"big mommas: like father, like son",2011,Fox,"Action,Comedy,Crime",107.0,4.4,82700000,"['Action,Comedy,Crime']"
tt1600195,abduction,2011,LGF,"Action,Mystery,Thriller",106.0,5.1,82100000,"['Action,Mystery,Thriller']"
tt2447982,abduction,2011,LGF,"Horror,Thriller",84.0,5.2,82100000,"['Horror,Thriller']"
tt0822847,priest,2011,SGem,"Action,Adventure,Fantasy",87.0,5.7,78300000,"['Action,Adventure,Fantasy']"
tt0472399,the mechanic,2011,CBS,"Action,Crime,Thriller",93.0,6.6,76100000,"['Action,Crime,Thriller']"
tt1124035,the ides of march,2011,Sony,"Drama,Thriller",101.0,7.1,76000000,"['Drama,Thriller']"
tt1488555,the change-up,2011,Uni.,"Comedy,Fantasy",112.0,6.3,75500000,"['Comedy,Fantasy']"
tt1189340,the lincoln lawyer,2011,LGF,"Crime,Drama,Thriller",118.0,7.3,75000000,"['Crime,Drama,Thriller']"
tt1650043,diary of a wimpy kid: rodrick rules,2011,Fox,"Comedy,Family",99.0,6.6,72400000,"['Comedy,Family']"
tt1583420,larry crowne,2011,Uni.,"Comedy,Drama,Romance",98.0,6.1,72000000,"['Comedy,Drama,Romance']"
tt1578275,the dilemma,2011,Uni.,"Comedy,Drama",111.0,5.3,69700000,"['Comedy,Drama']"
tt1093357,the darkest hour,2011,Sum.,"Action,Adventure,Horror",89.0,4.9,64600000,"['Action,Adventure,Horror']"
tt0993842,hanna,2011,Focus,"Action,Drama,Thriller",111.0,6.8,63800000,"['Action,Drama,Thriller']"
tt1657507,colombiana,2011,TriS,"Action,Drama,Thriller",108.0,6.4,61000000,"['Action,Drama,Thriller']"
tt0491152,something borrowed,2011,WB,"Comedy,Drama,Romance",112.0,5.9,60100000,"['Comedy,Drama,Romance']"
tt1563738,one day,2011,Focus,"Drama,Romance",107.0,7.0,59300000,"['Drama,Romance']"
tt1699513,beginning of the great revival,2011,CL,"Drama,History",140.0,2.5,58351000,"['Drama,History']"
tt1448755,killer elite,2011,ORF,"Action,Crime,Thriller",116.0,6.5,56400000,"['Action,Crime,Thriller']"
tt0477302,extremely loud & incredibly close,2011,WB,"Adventure,Drama,Mystery",129.0,6.9,55200000,"['Adventure,Drama,Mystery']"
tt0478304,the tree of life,2011,FoxS,"Drama,Fantasy",139.0,6.8,54300000,"['Drama,Fantasy']"
tt1449283,winnie the pooh,2011,BV,"Adventure,Animation,Comedy",63.0,7.2,49900000,"['Adventure,Animation,Comedy']"
tt1596346,soul surfer,2011,TriS,"Biography,Drama,Family",112.0,7.1,47100000,"['Biography,Drama,Family']"
tt2025526,war of the arrows,2011,CJ,Action,122.0,7.2,46051000,['Action']
tt1152398,beastly,2011,CBS,"Drama,Fantasy,Romance",86.0,5.6,43200000,"['Drama,Fantasy,Romance']"
tt1622547,30 minutes or less,2011,Sony,"Action,Comedy,Crime",83.0,6.1,40600000,"['Action,Comedy,Crime']"
tt1265990,the roommate,2011,SGem,"Drama,Thriller",91.0,4.9,40500000,"['Drama,Thriller']"
tt1633356,shark night 3d,2011,Rela.,"Horror,Thriller",90.0,4.0,40200000,"['Horror,Thriller']"
tt1067774,monte carlo,2011,Fox,"Adventure,Comedy,Family",109.0,5.8,39700000,"['Adventure,Comedy,Family']"
tt1306980,50/50,2011,Sum.,"Comedy,Drama,Romance",100.0,7.7,39200000,"['Comedy,Drama,Romance']"
tt1305591,mars needs moms,2011,BV,"Adventure,Animation,Family",88.0,5.4,39000000,"['Adventure,Animation,Family']"
tt1462041,dream house,2011,Uni.,"Drama,Mystery,Thriller",84.0,6.0,38500000,"['Drama,Mystery,Thriller']"
tt1640484,jumping the broom,2011,TriS,"Comedy,Drama",112.0,5.7,37715000,"['Comedy,Drama']"
tt1268799,a very harold & kumar 3d christmas,2011,WB,"Adventure,Comedy",90.0,6.3,35426000,"['Adventure,Comedy']"
tt1655420,my week with marilyn,2011,Wein.,"Biography,Drama",99.0,7.0,35100000,"['Biography,Drama']"
tt1366344,the sitter,2011,Fox,Comedy,81.0,5.7,34900000,['Comedy']
tt1229822,jane eyre,2011,Focus,"Drama,Romance",120.0,7.4,34700000,"['Drama,Romance']"
tt1533749,shaolin,2011,Vari.,"Action,Drama",131.0,6.9,33666100,"['Action,Drama']"
tt1223236,african cats,2011,BV,"Adventure,Documentary",89.0,7.6,30800000,"['Adventure,Documentary']"
tt1189073,the skin i live in,2011,SPC,"Drama,Horror,Thriller",120.0,7.6,30900000,"['Drama,Horror,Thriller']"
tt1742650,i don't know how she does it,2011,Wein.,"Comedy,Romance",89.0,4.9,30600000,"['Comedy,Romance']"
tt0770703,what's your number?,2011,Fox,"Comedy,Romance",106.0,6.1,30399999,"['Comedy,Romance']"
tt1502404,drive angry,2011,Sum.,"Action,Fantasy,Thriller",104.0,5.4,28900000,"['Action,Fantasy,Thriller']"
tt1571222,a dangerous method,2011,SPC,"Biography,Drama,Romance",99.0,6.4,27500000,"['Biography,Drama,Romance']"
tt1034389,the eagle,2011,Focus,"Action,Adventure,Drama",114.0,6.2,27100000,"['Action,Adventure,Drama']"
tt1772240,apollo 18,2011,W/Dim.,"Horror,Mystery,Sci-Fi",86.0,5.2,25600000,"['Horror,Mystery,Sci-Fi']"
tt1240982,your highness,2011,Uni.,"Adventure,Comedy,Fantasy",102.0,5.5,24900000,"['Adventure,Comedy,Fantasy']"
